a (letter)	/ˈeɪ/
respite	/ˈrεspɪt, rɪˈspaɪt/
response	/riˈspɑns/
respond	/riˈspɑnd/
responsibility	/riˌspɑnsəˈbɪlət̬i/
responsible	/riˈspɑnsəbəl/
responsive	/riˈspɑnsɪv/
rest 1	/ˈrεst/
restaurant	/ˈrεstəˌrɑnt, -rənt/
restful	/ˈrεstfəl/
restitution	/ˌrεstəˈtuːʃən, -ˈtjuː-/
restless	/ˈrεstləs/
restore	/riˈstor/
restoration	/ˌrεstəˈreɪʃən/
restrain	/riˈstreɪn/
restrained	/riˈstreɪnd/
restraint	/riˈstreɪnt/
restriction	/riˈstrɪkʃən/
restrict	/riˈstrɪkt/
restricted	/riˈstrɪktəd/
restrictive	/riˈstrɪktɪv/
result	/riˈzʌlt/
resume	/riˈzuːm/
resumption	/riˈzʌmpʃən/
resurgence	/riˈsɚdƷəns/
resurrection	/ˌrεzəˈrεkʃən/
resurrect	/ˌrεzəˈrεkt/
resuscitate	/riˈsʌsəˌteɪt/
retail	/ˈriːˌteɪl/
retailer	/ˈriːˌteɪlɚ/
retain	/riˈteɪn/
retaliate	/riˈtæliˌeɪt/
retaliation	/riˌtæliˈeɪʃən/
retard	/riˈtɑrd/
retarded	/riˈtɑrdəd/
retention	/riˈtεnʃən/
reticence	/ˈrεt̬əsəns/
reticent	/ˈrεt̬əsənt/
retina	/ˈrεtənə/
retinae	/-əni, -ənˌaɪ/
retinue	/ˈrεtənˌuː, -ˌjuː/
retire	/riˈtaɪr/
retirement	/riˈtaɪrmənt/
retiring	/riˈtaɪrɪŋ/
retort	/riˈtɔrt/
retrace	/ˌriːˈtreɪs/
retract	/riˈtrækt/
retrain	/ˌriːˈtreɪn/
retreat	/riˈtriːt/
retribution	/ˌrεtrəˈbjuːʃən/
retrieve	/riˈtriːv/
retrieval	/riˈtriːvəl/
retriever	/riˈtriːvɚ/
retroactive	/ˌrεtroˈæktɪv/
retrospect	/ˈrεtrəˌspεkt/
retrospective	/ˌrεtrəˈspεktɪv/
return	/riˈtɚn/
reunite	/ˌriːjʊˈnaɪt/
reunion	/riˈjuːnjən/
revamp	/ˌriˈvæmp/
reveal	/riˈviːl/
revel	/ˈrεvəl/
revelation	/ˌrεvəˈleɪʃən/
revelry	/ˈrεvəlri/
revenge	/riˈvεndƷ/
revenue	/ˈrεvəˌnuː, -ˌnjuː/
reverberate	/riˈvɚbəˌreɪt/
reverence	/ˈrεvɚəns/
revere	/riˈvɪr/
reverend	/ˈrεvɚənd/
reverent	/ˈrεvɚənt/
reverie	/ˈrεvɚi/
reverse	/riˈvɚs/
reversible	/riˈvɚsəbəl/
reversal	/ˈrεvɚsəl/
revert	/riˈvɚt/
review	/riˈvjuː/
reviewer	/riˈvjuːɚ/
revile	/riˈvaɪl/
revise	/riˈvaɪz/
revision	/riˈvɪƷən/
revive	/riˈvaɪv/
revival	/riˈvaɪvəl/
revoke	/riˈvoːk/
revolt	/riˈvoːlt/
revolting	/riˈvoːltɪŋ/
revolution	/ˌrεvəˈluːʃən/
revolutionary	/ˌrεvəˈluːʃənˌεri/
revolutionize	/ˌrεvəˈluːʃənˌaɪz/
revolve	/riˈvɑlv/
revolver	/riˈvɑlvɚ/
revue	/riˈvjuː/
revulsion	/riˈvʌlʃən/
reward	/riˈwɔrd/
rewrite	/ˌriːˈraɪt/
rhetoric	/ˈrεt̬ɚɪk/
rhetorical	/rɪˈtɔrɪkəl/
rheumatism	/ˈruːməˌtɪzəm, ˈrʊ-/
rheumatic	/rʊˈmæt̬ɪk/
rhino	/ˈraɪˌnoː/
rhinoceros  /raɪˈnɑsɚəs/
noceri	/-ˌraɪ/
rhubarb	/ˈruːˌbɑrb/
rhyme	/ˈraɪm/
rhythm	/ˈrɪðəm/
rhythmic	/ˈrɪðmɪk/
rhythmical	/-mɪkəl/
rib	/ˈrɪb/
ribbon	/ˈrɪbən/
rice	/ˈraɪs/
rich	/ˈrɪtʃ/
riches	/ˈrɪtʃəz/
richness	/ˈrɪtʃnəs/
rickety	/ˈrɪkət̬i/
ricochet	/ˈrɪkəˌʃeɪ, -ˌʃεt/
ricocheted	/-ˌʃeɪd/
ricochetted	/-ˌʃεt̬əd/
ricocheting	/-ˌʃeɪɪŋ/
ricochetting	/-ˌʃεt̬ɪŋ/
rid	/ˈrɪd/
riddance	/ˈrɪdəns/
riddle 1	/ˈrɪdəl/
ride	/ˈraɪd/
rode	/ˈroːd/
ridden	/ˈrɪdən/
rider	/ˈraɪdɚ/
ridge	/ˈrɪdƷ/
ridiculous	/rəˈdɪkjələs/
ridicule	/ˈrɪdəˌkjuːl/
rife	/ˈraɪf/
rifle 1	/ˈraɪfəl/
rift	/ˈrɪft/
rig 1	/ˈrɪg/
rigging	/ˈrɪgɪŋ, -gən/
right	/ˈraɪt/
righteous	/ˈraɪtʃəs/
rightful	/ˈraɪt̬fəl/
right–hand	/ˈraɪtˈhænd/
right–handed	/ˈraɪtˈhændəd/
rightly	/ˈraɪtli/
right–wing	/ˈraɪtˈwɪŋ/
rigid	/ˈrɪdƷɪd/
rigor	/ˈrɪgɚ/
rigorous	/ˈrɪgɚəs/
rim	/ˈrɪm/
rind	/ˈraɪnd/
ring 1	/ˈrɪŋ/
rang	/ˈræŋ/
rung	/ˈrʌŋ/
ringleader	/ˈrɪŋˌliːdɚ/
ringlet	/ˈrɪŋlət/
rink	/ˈrɪŋk/
rinse	/ˈrɪns/
riot	/ˈraɪət/
rioter	/ˈraɪət̬ɚ/
rip	/ˈrɪp/
ripe	/ˈraɪp/
ripen	/ˈraɪpən/
ripeness	/ˈraɪpnəs/
ripple	/ˈrɪpəl/
rip–off	/ˈrɪpˌɔf/
rise	/ˈraɪz/
rose	/ˈroːz/
risen	/ˈrɪzən/
riser	/ˈraɪzɚ/
risk	/ˈrɪsk/
risky	/ˈrɪski/
rite	/ˈraɪt/
ritual	/ˈrɪtʃʊəl/
rival	/ˈraɪvəl/
rivalry	/ˈraɪvəlri/
river	/ˈrɪvɚ/
rivet	/ˈrɪvət/
roach	/ˈroːtʃ/
road	/ˈroːd/
roadblock	/ˈroːdˌblɑk/
roadside	/ˈroːdˌsaɪd/
roadway	/ˈroːdˌweɪ/
roam	/ˈroːm/
roar	/ˈror/
roast	/ˈroːst/
rob	/ˈrɑb/
robber	/ˈrɑbɚ/
robbery	/ˈrɑbɚi/
robe	/ˈroːb/
robin	/ˈrɑbən/
robot	/ˈroːˌbɑt, -bət/
robust	/roˈbʌst, ˈroːˌbʌst/
rock 1	/ˈrɑk/
rocket	/ˈrɑkət/
rocky	/ˈrɑki/
rod	/ˈrɑd/
rodent	/ˈroːdənt/
rodeo	/ˈroːdiˌoː, roˈdeɪˌoː/
roe	/ˈroː/
rogue	/ˈroːg/
role	/ˈroːl/
roll	/ˈroːl/
roller	/ˈroːlɚ/
roller coaster	/ˈroːlɚˌkoːstɚ/
roller–skate	/ˈroːlɚˌskeɪt/
Roman	/ˈroːmən/
romance	/roˈmæns, ˈroːˌmæns/
Romanian	/rʊˈmeɪniən, ro-/
romantic	/roˈmæntɪk/
romp	/ˈrɑmp/
roof	/ˈruːf, ˈrʊf/
roofs	/ˈruːfs, ˈrʊfs; ˈruːvz, ˈrʊvz/
roofing	/ˈruːfɪŋ, ˈrʊfɪŋ/
rooftop	/ˈruːfˌtɑp, ˈrʊf-/
rook 1	/ˈrʊk/
rookie	/ˈrʊki/
room	/ˈruːm, ˈrʊm/
roommate	/ˈruːmˌmeɪt, ˈrʊm-/
roomy	/ˈruːmi, ˈrʊmi/
roost	/ˈruːst/
rooster	/ˈruːstɚ/
root 1	/ˈruːt, ˈrʊt/
rope	/ˈroːp/
rosary	/ˈroːzɚi/
rose 2	/ˈroːz/
rosebush	/ˈroːzˌbʊʃ/
rosemary	/ˈroːzˌmεri/
Rosh Hashanah	/ˌrɑʃhɑˈʃɑnə, ˌroːʃ-/
roster	/ˈrɑstɚ/
rostrum	/ˈrɑstrəm/
rostrums	/-trə/
rosy	/ˈroːzi/
rot	/ˈrɑt/
rotary	/ˈroːt̬ɚi/
rotate	/ˈroːˌteɪt/
rotation	/roˈteɪʃən/
rote	/ˈroːt/
rotor	/ˈroːt̬ɚ/
rotten	/ˈrɑtən/
rouge	/ˈruːƷ, ˈruːdƷ/
rough	/ˈrʌf/
roughage	/ˈrʌfɪdƷ/
roughen	/ˈrʌfən/
roughly	/ˈrʌfli/
roughness	/ˈrʌfnəs/
roulette	/ruːˈlεt/
round	/ˈraʊnd/
roundabout	/ˈraʊndəˌbaʊt/
round–trip	/ˈraʊndˌtrɪp/
roundup	/ˈraʊndˌʌp/
rouse	/ˈraʊz/
rout	/ˈraʊt/
route	/ˈruːt, ˈraʊt/
routine	/ruːˈtiːn/
rove	/ˈroːv/
row 1	/ˈroː/
row 3	/ˈraʊ/
rowboat	/ˈroːˌboːt/
rowdy	/ˈraʊdi/
royal	/ˈrɔɪəl/
royalty	/ˈrɔɪəlti/
rub	/ˈrʌb/
rubber	/ˈrʌbɚ/
rubbery	/ˈrʌbɚi/
rubbish	/ˈrʌbɪʃ/
rubble	/ˈrʌbəl/
ruby	/ˈruːbi/
rudder	/ˈrʌdɚ/
ruddy	/ˈrʌdi/
rude	/ˈruːd/
rudely	/ˈruːdli/
rudeness	/ˈruːdnəs/
rudiment	/ˈruːdəmənt/
rudimentary	/ˌruːdəˈmεntɚi/
rue	/ˈruː/
rueful	/ˈruːfəl/
ruffle	/ˈrʌfəl/
rug	/ˈrʌg/
rugged	/ˈrʌgəd/
ruin	/ˈruːən/
rule	/ˈruːl/
ruler	/ˈruːlɚ/
ruling	/ˈruːlɪŋ/
rum	/ˈrʌm/
Rumanian	/rʊˈmeɪniən/
rumble	/ˈrʌmbəl/
rummage	/ˈrʌmɪdƷ/
rumor	/ˈruːmɚ/
rump	/ˈrʌmp/
rumpus	/ˈrʌmpəs/
run	/ˈrʌn/
ran	/ˈræn/
runaway	/ˈrʌnəˌweɪ/
rundown	/ˈrʌnˌdaʊn/
run–down	/ˈrʌnˈdaʊn/
rung 2	/ˈrʌŋ/
runner	/ˈrʌnɚ/
runner–up	/ˌrʌnɚˈʌp/
running	/ˈrʌnɪŋ/
runt	/ˈrʌnt/
runway	/ˈrʌnˌweɪ/
rupture	/ˈrʌptʃɚ/
rural	/ˈrʊrəl/
ruse	/ˈruːs, ˈruːz/
rush 1	/ˈrʌʃ/
russet	/ˈrʌsət/
Russian	/ˈrʌʃən/
rust	/ˈrʌst/
rustic	/ˈrʌstɪk/
rustle	/ˈrʌsəl/
rusty	/ˈrʌsti/
rut	/ˈrʌt/
ruthless	/ˈruːθləs/
rye	/ˈraɪ/
resumé	/ˈrεzəˌmeɪ, ˌrεzəˈ-/
s	/ˈεs/
ss	/ˈεsəz/
Sabbath	/ˈsæbəθ/
sabotage	/ˈsæbəˌtɑƷ/
saccharin	/ˈsækɚən/
sack	/ˈsæk/
sacrament	/ˈsækrəmənt/
sacred	/ˈseɪkrəd/
sacrifice	/ˈsækrəˌfaɪs/
sacrilege	/ˈsækrəlɪdƷ/
sacrilegious	/ˌsækrəˈlɪdƷəs, -ˈliː-/
sad	/ˈsæd/
sadden	/ˈsædən/
saddle	/ˈsædəl/
sadistic	/səˈdɪstɪk/
sadness	/ˈsædnəs/
safari	/səˈfɑri, -ˈfær-/
safe	/ˈseɪf/
safeguard	/ˈseɪfˌgɑrd/
safely	/ˈseɪfli/
safety	/ˈseɪfti/
saffron	/ˈsæfrən/
sag	/ˈsæg/
saga	/ˈsɑgə, ˈsæ-/
sage 1	/ˈseɪdƷ/
sail	/ˈseɪl/
sailboat	/ˈseɪlˌboːt/
sailor	/ˈseɪlɚ/
saint	/ˈseɪnt/, before a name /ˌseɪnt/ or /sənt/
saintly	/ˈseɪntli/
sake	/ˈseɪk/
salad	/ˈsæləd/
salamander	/ˈsæləˌmændɚ/
salami	/səˈlɑmi/
salary	/ˈsælɚi/
sale	/ˈseɪl/
salesman	/ˈseɪlzmən/
salesmen	/-mən, -ˌmεn/
saleswoman	/ˈseɪlzˌwʊmən/
saleswomen	/-ˌwɪmən/
salient	/ˈseɪljənt/
saliva	/səˈlaɪvə/
sallow	/ˈsæloː/
salmon	/ˈsæmən/
salon	/səˈlɑn, ˈsæˌlɑn/
saloon	/səˈluːn/
salsa	/ˈsɔlsə, ˈsɑl-/
salt	/ˈsɔlt/
saltwater	/ˈsɔltˌwɔt̬ɚ, -ˌwɑ-/
salty	/ˈsɔlti/
salute	/səˈluːt/
salvage	/ˈsælvɪdƷ/
salvation	/sælˈveɪʃən/
salve	/ˈsæv, ˈsav/
same	/ˈseɪm/
sample	/ˈsæmpəl/
sanatorium	/ˌsænəˈtoriəm/
ria	/-iə/
sanctify	/ˈsæŋktəˌfaɪ/
sanctity	/ˈsæŋktət̬i/
sanctuary	/ˈsæŋktʃʊˌεri/
sand	/ˈsænd/
sandal	/ˈsændəl/
sandpaper	/ˈsændˌpeɪpɚ/
sandwich	/ˈsændˌwɪtʃ/
sandy	/ˈsændi/
sane	/ˈseɪn/
sanitarium	/ˌsænəˈtεəriəm/
ia	/-iə/
sanitary	/ˈsænətεri/
sanitation	/ˌsænəˈteɪʃən/
sanity	/ˈsænət̬i/
Claus	/ˈsæntəˌklɔz/
sap 1	/ˈsæp/
sapphire	/ˈsæˌfaɪr/
sarcasm	/ˈsɑrˌkæzəm/
sarcastic	/sɑrˈkæstɪk/
sardine	/sɑrˈdiːn/
sash	/ˈsæʃ/
satanic	/səˈtænɪk, seɪ-/
satchel	/ˈsætʃəl/
satellite	/ˈsæt̬əˌlaɪt/
satin	/ˈsætən/
satire	/ˈsæˌtaɪr/
satiric	/səˈtɪrɪk/
satirical	/-ɪkəl/
satisfaction	/ˌsæt̬əsˈfækʃən/
satisfactory	/ˌsæt̬əsˈfæktɚi/
satisfy	/ˈsæt̬əsˌfaɪ/
saturate	/ˈsætʃəˌreɪt/
saturation	/ˌsætʃəˈreɪʃən/
Saturday	/ˈsæt̬ɚˌdeɪ, -di/
Saturn	/ˈsæt̬ɚn/
sauce	/ˈsɔs/
saucepan	/ˈsɔsˌpæn/
saucer	/ˈsɔsɚ/
saucy	/ˈsɔsi/
sauna	/ˈsɔnə, ˈsaʊnə/
saunter	/ˈsɔntɚ, ˈsɑn-/
sausage	/ˈsɔsɪdƷ/
sauté	/sɔˈteɪ, soː-/
savage	/ˈsævɪdƷ/
savagery	/ˈsævɪdƷri, -dƷɚi/
save	/ˈseɪv/
savior	/ˈseɪvjɚ/
savor	/ˈseɪvɚ/
savory	/ˈseɪvɚi/
saw 2	/ˈsɔ/
sawdust	/ˈsɔˌdʌst/
saxophone	/ˈsæksəˌfoːn/
say	/ˈseɪ/
said	/ˈsεd/
saying; 
says	/ˈsεz/
says	/ˈseɪz/
saying	/ˈseɪɪŋ/
scab	/ˈskæb/
scaffold	/ˈskæfəld, -ˌfoːld/
scald	/ˈskɔld/
scale 1	/ˈskeɪl/
scallion	/ˈskæljən/
scallop	/ˈskɑləp, ˈskæ-/
scalp	/ˈskælp/
scam	/ˈskæm/
scamper	/ˈskæmpɚ/
scan	/ˈskæn/
scandal	/ˈskændəl/
scandalous	/ˈskændələs/
Scandinavian	/ˌskændəˈneɪviən/
scant	/ˈskænt/
scapegoat	/ˈskeɪpˌgoːt/
scar	/ˈskɑr/
scarce	/ˈskεərs/
scarcely	/ˈskεərsli/
scarcity	/ˈskεərsət̬i/
scare	/ˈskεər/
scarecrow	/ˈskεərˌkroː/
scarf	/ˈskɑrf/
scarves	/ˈskɑrvz/
scarlet	/ˈskɑrlət/
scary	/ˈskεəri/
scathing	/ˈskeɪðɪŋ/
scatter	/ˈskæt̬ɚ/
scavenger	/ˈskævəndƷɚ/
scenario	/sɪˈnεəriˌoː, sɪˈnɑriˌoː/
scene	/ˈsiːn/
scenery	/ˈsiːnɚi/
scenic	/ˈsiːnɪk/
scent	/ˈsεnt/
scented	/ˈsεntəd/
sceptic	/ˈskεptɪk/
schedule	/ˈskεˌdƷuːl, -dƷəl, esp Brit ˈʃεdˌjuːl/
scheme	/ˈskiːm/
schism	/ˈsɪzəm, ˈskɪ-/
schizophrenia	/ˌskɪtsəˈfriːniə, ˌskɪzə-, -ˈfrε-/
schizophrenic	/ˌskɪtsəˈfrεnɪk, ˌskɪzə-/
scholar	/ˈskɑlɚ/
scholarly	/ˈskɑlɚli/
scholarship	/ˈskɑlɚˌʃɪp/
school 1	/ˈskuːl/
schoolboy	/ˈskuːlˌbɔɪ/
schoolgirl	/ˈskuːlˌgɚl/
schoolteacher	/ˈskuːlˌtiːtʃɚ/
science	/ˈsaɪəns/
scientific	/ˌsaɪənˈtɪfɪk/
scientist	/ˈsaɪəntɪst/
scissors	/ˈsɪzɚz/
scoff	/ˈskɑf/
scold	/ˈskoːld/
scoop	/ˈskuːp/
scoot	/ˈskuːt/
scooter	/ˈskuːt̬ɚ/
scope	/ˈskoːp/
scorch	/ˈskɔrtʃ/
score	/ˈskor/
scorn	/ˈskɔrn/
scornful	/ˈskɔrnfəl/
scorpion	/ˈskɔrpiən/
Scot	/ˈskɑt/
Scotch	/ˈskɑtʃ/
Scottish	/ˈskɑt̬ɪʃ/
scoundrel	/ˈskaʊndrəl/
scour	/ˈskaʊɚ/
scourge	/ˈskɚdƷ/
scout	/ˈskaʊt/
scowl	/ˈskaʊl/
scram	/ˈskræm/
scramble	/ˈskræmbəl/
scrap 1	/ˈskræp/
scrapbook	/ˈskræpˌbʊk/
scrape	/ˈskreɪp/
scratch	/ˈskrætʃ/
scrawl	/ˈskrɔl/
scrawny	/ˈskrɔni/
scream	/ˈskriːm/
screech	/ˈskriːtʃ/
screen	/ˈskriːn/
screw	/ˈskruː/
screwdriver	/ˈskruːˌdraɪvɚ/
scribble	/ˈskrɪbəl/
script	/ˈskrɪpt/
scripture	/ˈskrɪptʃɚ/
scroll	/ˈskroːl/
scrounge	/ˈskraʊndƷ/
scrub 1	/ˈskrʌb/
scruff	/ˈskrʌf/
scruple	/ˈskruːpəl/
scrupulous	/ˈskruːpjələs/
scrutiny	/ˈskruːtəni/
scrutinize	/ˈskruːtənˌaɪz/
scuff	/ˈskʌf/
scuffle	/ˈskʌfəl/
sculpture	/ˈskʌlptʃɚ/
sculpt	/ˈskʌlpt/
sculptor	/ˈskʌlptɚ/
scum	/ˈskʌm/
scurry	/ˈskɚi/
scuttle 1	/ˈskʌt̬əl/
sea	/ˈsiː/
seafarer	/ˈsiːˌfεərɚ/
seafood	/ˈsiːˌfuːd/
seagull	/ˈsiːˌgʌl/
seal 1	/ˈsiːl/
seam	/ˈsiːm/
seaman	/ˈsiːmən/
seamen	/-mən, -ˌmεn/
seamy	/ˈsiːmi/
seaplane	/ˈsiːˌpleɪn/
seaport	/ˈsiːˌport/
search	/ˈsɚtʃ/
searchlight	/ˈsɚtʃˌlaɪt/
seashell	/ˈsiːˌʃεl/
seashore	/ˈsiːˌʃor/
seasick	/ˈsiːˌsɪk/
seasickness	/ˈsiːˌsɪknəs/
season	/ˈsiːzən/
seasonal	/ˈsiːzənəl/
seasoning	/ˈsiːzənɪŋ/
seat	/ˈsiːt/
seaweed	/ˈsiːˌwiːd/
secede	/sɪˈsiːd/
secluded	/sɪˈkluːdəd/
seclusion	/sɪˈkluːƷən/
second	/ˈsεkənd/
secondly	/ˈsεkəndli/
secondary	/ˈsεkənˌdεri/
secondhand	/ˈsεkəndˈhænd/
second–rate	/ˈsεkəndˈreɪt/
secret	/ˈsiːkrət/
secrecy	/ˈsiːkrəsi/
secretary	/ˈsεkrəˌtεri/
secretion	/sɪˈkriːʃən/
secrete	/sɪˈkriːt/
secretive	/ˈsiːkrət̬ɪv, sɪˈkriːt̬ɪv/
secretly	/ˈsiːkrətli/
sect	/ˈsεkt/
section	/ˈsεkʃən/
sector	/ˈsεktɚ/
secular	/ˈsεkjəlɚ/
security	/sɪˈkjʊrət̬i/
secure	/sɪˈkjʊr/
sedan	/sɪˈdæn/
sedate	/sɪˈdeɪt/
sedative	/ˈsεdət̬ɪv/
sedentary	/ˈsεdənˌtεri/
sediment	/ˈsεdəmənt/
seduce	/sɪˈduːs, -ˈdjuːs/
seduction	/sɪˈdʌkʃən/
seductive	/sɪˈdʌktɪv/
see	/ˈsiː/
saw	/ˈsɔ/
seen	/ˈsiːn/
seed	/ˈsiːd/
seedy	/ˈsiːdi/
seek	/ˈsiːk/
sought	/ˈsɔt/
seem	/ˈsiːm/
seep	/ˈsiːp/
seesaw	/ˈsiːˌsɔ/
seethe	/ˈsiːð/
segment	/ˈsεgmənt/
segregate	/ˈsεgrɪˌgeɪt/
segregation	/ˌsεgrɪˈgeɪʃən/
seize	/ˈsiːz/
seizure	/ˈsiːƷɚ/
seldom	/ˈsεldəm/
select	/səˈlεkt/
selection	/səˈlεkʃən/
selective	/səˈlεktɪv/
self	/ˈsεlf/
selves	/ˈsεlvz/
self–addressed	/ˌsεlfəˈdrεst/
self–assured	/ˌsεlfəˈʃʊrd/
self–centered	/ˌsεlfˈsεntɚd/
self–confidence	/ˌsεlfˈkɑnfədəns/
self–confident	/ˌsεlfˈkɑnfədənt/
self–conscious	/ˌsεlfˈkɑnʃəs/
self–control	/ˌsεlfkənˈtroːl/
self–defense	/ˌsεlfdɪˈfεns/
self–employed	/ˌsεlfɪmˈplɔɪd/
self–esteem	/ˌsεlfɪˈstiːm/
self–evident	/ˌsεlfˈεvədənt/
self–help	/ˌsεlfˈhεlp/
self–important	/ˌsεlfɪmˈpɔrtənt/
self–interest	/ˌsεlfˈɪntrəst, -təˌrεst/
selfish	/ˈsεlfɪʃ/
selfishness	/ˈsεlfɪʃnəs/
selfless	/ˈsεlfləs/
self–pity	/ˌsεlfˈpɪt̬i/
self–portrait	/ˌsεlfˈpɔrtrət/
self–respect	/ˌsεlfriˈspεkt/
self–righteous	/ˌsεlfˈraɪtʃəs/
self–service	/ˌsεlfˈsɚvɪs/
self–sufficient	/ˌsεlfsəˈfɪʃənt/
self–taught	/ˌsεlfˈtɔt/
sell	/ˈsεl/
sold	/ˈsoːld/
seller	/ˈsεlɚ/
semantics	/sɪˈmæntɪks/
semblance	/ˈsεmbləns/
semester	/səˈmεstɚ/
semicolon	/ˈsεmiˌkoːlən, ˈsεˌmaɪ-/
semifinal	/ˈsεmiˌfaɪnəl, ˈsεˌmaɪ-/
seminary	/ˈsεməˌnεri/
seminar	/ˈsεməˌnɑr/
senate	/ˈsεnət/
senator	/ˈsεnət̬ɚ/
send	/ˈsεnd/
sent	/ˈsεnt/
sender	/ˈsεndɚ/
senile	/ˈsiːˌnaɪl/
senility	/sɪˈnɪlət̬i/
senior	/ˈsiːnjɚ/
seniority	/ˌsiːˈnjɔrət̬i/
sensation	/sεnˈseɪʃən/
sensational	/sεnˈseɪʃənəl/
sense	/ˈsεns/
senseless	/ˈsεnsləs/
sensible	/ˈsεnsəbəl/
sensibility	/ˌsεnsəˈbɪlət̬i/
sensitive	/ˈsεnsət̬ɪv/
sensitivity	/ˌsεnsəˈtɪvət̬i/
sensual	/ˈsεnʃʊəl/
sensuous	/ˈsεnʃʊəs/
sentence	/ˈsεntəns, -ənz/
sentiment	/ˈsεntəmənt/
sentimental	/ˌsεntəˈmεntəl/
sentimentality	/ˌsεntəˌmεnˈtælət̬i/
sentry	/ˈsεntri/
separation	/ˌsεpəˈreɪʃən/
separate	/ˈsεpəˌreɪt/
~	/ˈsεprət, ˈsεpə-/
separately	/ˈsεprətli, ˈsεpə-/
September	/sεpˈtεmbɚ/
sequel	/ˈsiːkwəl/
sequence	/ˈsiːkwəns/
Serb	/ˈsɚb/
Serbian	/ˈsɚbiən/
serene	/səˈriːn/
serenity	/səˈrεnət̬i/
sergeant	/ˈsɑrdƷənt/
serial	/ˈsɪriəl/
series	/ˈsɪrˌiːz/
serious	/ˈsɪriəs/
seriously	/ˈsɪriəsli/
sermon	/ˈsɚmən/
serpent	/ˈsɚpənt/
servant	/ˈsɚvənt/
serve	/ˈsɚv/
server	/ˈsɚvɚ/
service	/ˈsɚvəs/
serviceman	/ˈsɚvəsˌmæn, -mən/
servicemen	/-mən, -ˌmεn/
serving	/ˈsɚvɪŋ/
session	/ˈsεʃən/
set	/ˈsεt/
setback	/ˈsεtˌbæk/
setting	/ˈsεt̬ɪŋ/
settle	/ˈsεt̬əl/
settlement	/ˈsεt̬əlmənt/
settler	/ˈsεt̬əlɚ/
seven	/ˈsεvən/
seventeen	/ˌsεvənˈtiːn/
seventeenth	/ˌsεvənˈtiːnθ/
seventh	/ˈsεvənθ/
seventieth	/ˈsεvəntiəθ/
seventy	/ˈsεvənt̬i/
sever	/ˈsεvɚ/
several	/ˈsεvrəl, ˈsεvə-/
severance	/ˈsεvrəns, sεvə-/
severe	/səˈvɪr/
severity	/səˈvεrət̬i/
sew	/ˈsoː/
sewed; sewn	/ˈsoːn/
sewer	/ˈsuːɚ/
sewage	/ˈsuːɪdƷ/
sewing	/ˈsoːɪŋ/
sex	/ˈsεks/
sexism	/ˈsεkˌsɪzəm/
sexist	/ˈsεksɪst/
sexual	/ˈsεkʃʊəl/
sexuality	/ˌsεkʃʊˈælət̬i/
sexy	/ˈsεksi/
shabby	/ˈʃæbi/
shack	/ˈʃæk/
shackle	/ˈʃækəl/
shade	/ˈʃeɪd/
shadow	/ˈʃædoː/
shadowy	/ˈʃædowi/
shady	/ˈʃeɪdi/
shaft	/ˈʃæft/
shaggy	/ˈʃægi/
shake	/ˈʃeɪk/
shook	/ˈʃʊk/
shaken	/ˈʃeɪkən/
shaker	/ˈʃeɪkɚ/
shaky	/ˈʃeɪki/
shall	/ˈʃæl/
should	/ˈʃʊd/
shallow	/ˈʃæloː/
sham	/ˈʃæm/
shambles	/ˈʃæmbəlz/
shame	/ˈʃeɪm/
shameful	/ˈʃeɪmfəl/
shameless	/ˈʃeɪmləs/
shampoo	/ʃæmˈpuː/
shamrock	/ˈʃæmˌrɑk/
shan't	/ˈʃænt/
shape	/ˈʃeɪp/
shapeless	/ˈʃeɪpləs/
share	/ˈʃεər/
shareholder	/ˈʃεərˌhoːldɚ/
shark	/ˈʃɑrk/
sharp	/ˈʃɑrp/
sharpen	/ˈʃɑrpən/
sharpener	/ˈʃɑrpənɚ/
sharply	/ˈʃɑrpli/
shatter	/ˈʃæt̬ɚ/
shave	/ˈʃeɪv/
shaven	/ˈʃeɪvən/
shaver	/ˈʃeɪvɚ/
shawl	/ˈʃɔl/
she	/ˈʃiː/
she'd	/ˈʃiːd/
she'll	/ˈʃiːl, ˈʃɪl/
she's	/ˈʃiːz/
sheaf	/ˈʃiːf/
sheaves	/ˈʃiːvz/
shear	/ˈʃɪr/
shorn	/ˈʃorn/
shears	/ˈʃɪrz/
sheath	/ˈʃiːθ/
sheaths	/ˈʃiːðz, ˈʃiːθs/
shed 1	/ˈʃεd/
sheen	/ˈʃiːn/
sheep	/ˈʃiːp/
sheepish	/ˈʃiːpɪʃ/
sheer	/ˈʃɪr/
sheet	/ˈʃiːt/
shelf	/ˈʃεlf/
shelves	/ˈʃεlvz/
shell	/ˈʃεl/
shellfish	/ˈʃεlˌfɪʃ/
shelter	/ˈʃεltɚ/
shelve	/ˈʃεlv/
shepherd	/ˈʃεpɚd/
sherbet	/ˈʃɚbət/
sheriff	/ˈʃεrɪf/
sherry	/ˈʃεri/
shield	/ˈʃiːld/
shift	/ˈʃɪft/
shiftless	/ˈʃɪftləs/
shifty	/ˈʃɪfti/
shimmer	/ˈʃɪmɚ/
shin	/ˈʃɪn/
shine	/ˈʃaɪn/
shone	/ˈʃoːn/
shingle	/ˈʃɪŋgəl/
shingles	/ˈʃɪŋgəlz/
shiny	/ˈʃaɪni/
ship	/ˈʃɪp/
shipbuilding	/ˈʃɪpˌbɪldɪŋ/
